sa2,DHB,Population,VaccRate,SocialDeprivation,DistanceToVacc,PropUnder30,TertiaryStudents
120100,Waitemata,700,0.7928571428571428,960.5,3102.42206234,0.36764705882352944,No
120600,Waitemata,2681,0.7706079820962327,1046,1014.65632137,0.48257372654155495,No
124500,Waitemata,2731,0.807396558037349,1004.5,878.081657128,0.41847826086956524,No
120300,Waitemata,3788,0.8722280887011615,917,2585.06735033,0.36980306345733044,No
120400,Waitemata,3215,0.8821150855365474,959.5,1298.5449199,0.3842239185750636,No
120500,Waitemata,2581,0.8795040681906238,932,537.633619077,0.370253164556962,No
120700,Waitemata,2394,0.8659147869674185,929,2770.5328847,0.3835125448028674,No
123800,Waitemata,2858,0.7414275717284815,1114,393.851605782,0.46965699208443273,No
120800,Waitemata,2480,0.8943548387096775,911,1072.01330353,0.36769759450171824,No
120900,Waitemata,2459,0.81862545750305,991,1206.38146217,0.4584615384615385,No
125800,Waitemata,2718,0.8951434878587197,932,1858.99385291,0.4040114613180516,No
123700,Waitemata,4068,0.9078171091445427,909,1932.54596736,0.35864978902953587,No
121100,Waitemata,2028,0.7879684418145957,937.5,4605.02579513,0.38461538461538464,No
121600,Waitemata,3234,0.8150896722325294,989,1093.8925553,0.43410852713178294,No
121700,Waitemata,1400,0.81,983,2509.29060222,0.4409221902017291,No
149800,Counties Manukau,2889,0.8653513326410522,997,1113.69251845,0.4037433155080214,No
121800,Waitemata,2779,0.8557034904641958,939,4350.58370753,0.39944903581267216,No
121900,Waitemata,3185,0.9076923076923077,977,2108.41821437,0.3904761904761905,No
155700,Counties Manukau,3149,0.6589393458240711,1243,1111.56503537,0.5600961538461539,No
122000,Waitemata,2388,0.852177554438861,1000,2329.67874804,0.41454545454545455,No
122300,Waitemata,3067,0.7932833387675252,1043,887.864983098,0.45792079207920794,No
122100,Waitemata,2467,0.8958248885285772,957.5,3103.11849522,0.4123076923076923,No
122200,Waitemata,2552,0.9106583072100314,889,2448.77258669,0.3779264214046823,No
155800,Counties Manukau,3706,0.638963842417701,1282,1125.8788199,0.5859872611464968,No
122400,Waitemata,3110,0.7836012861736334,1019.5,3790.76574588,0.45323741007194246,No
122500,Waitemata,2954,0.7813134732566012,1060,2042.9412475,0.48429319371727747,No
142600,Auckland,2383,0.8678136802349979,942,699.417540809,0.3487544483985765,No
122800,Waitemata,3381,0.8541851523217983,972,3556.18165587,0.43665158371040724,No
122900,Waitemata,3667,0.7998363785110445,1020,2745.67780981,0.4610655737704918,No
123200,Waitemata,2639,0.8344069723380069,966,2081.32603108,0.42045454545454547,No
123300,Waitemata,3180,0.8959119496855346,964,2193.70527637,0.4090909090909091,No
124300,Waitemata,3479,0.7895947111238861,1095,1551.22708821,0.45951859956236324,No
155900,Counties Manukau,3092,0.8240620957309185,1066,1479.29843298,0.5,No
124800,Waitemata,3098,0.8434473854099419,990,996.27282187,0.42676767676767674,No
123900,Waitemata,2653,0.8850358085186582,919,3558.70556628,0.3597560975609756,No
134200,Auckland,3157,0.930947101678809,959,892.107776324,0.43316831683168316,No
124100,Waitemata,839,0.7866507747318237,929,21712.5177188,0.2863849765258216,No
124900,Waitemata,2725,0.8223853211009174,1102.5,1074.16970216,0.45892351274787535,No
125200,Waitemata,3996,0.9024024024024024,926,2671.41881715,0.3597678916827853,No
125500,Waitemata,2522,0.9080095162569389,981,983.507465034,0.3633440514469453,No
143200,Auckland,2201,0.9250340754202635,917,1267.76899112,0.36162361623616235,No
125100,Waitemata,195,0.8102564102564103,1036,1488.57058838,0.39285714285714285,No
134300,Auckland,2104,0.9272813688212928,964,4670.86735529,0.33992094861660077,No
125300,Waitemata,2625,0.8662857142857143,933.5,975.400915283,0.37666666666666665,No
125400,Waitemata,2627,0.8922725542443852,969.5,753.145557443,0.3221884498480243,No
125600,Waitemata,3021,0.9046673286991063,984,1681.60265717,0.38482384823848237,No
125700,Waitemata,2119,0.8338839075035394,1035,921.256574234,0.41134751773049644,No
233100,MidCentral,1359,0.6703458425312729,1081,192.918893996,0.32926829268292684,No
125900,Waitemata,1833,0.9045280960174578,904,383.099311689,0.2683544303797468,No
126100,Waitemata,2215,0.8776523702031602,938,2056.61349149,0.3837638376383764,No
126200,Waitemata,3274,0.9022602321319487,944,1826.62989788,0.3976190476190476,No
134400,Auckland,2982,0.886653252850436,952,1246.83059916,0.41530054644808745,No
234900,MidCentral,1969,0.7399695276790249,1055.5,1677.31425414,0.3715415019762846,No
127300,Waitemata,2131,0.9014547160957297,933,1394.2482942,0.39194139194139194,No
126300,Waitemata,3007,0.8909211839042235,919,2064.73436183,0.3712737127371274,No
126500,Waitemata,2373,0.8900126422250316,954.5,689.002513002,0.37293729372937295,No
126600,Waitemata,4038,0.8987122337790986,963.5,275.325646502,0.3216374269005848,No
126700,Waitemata,3338,0.8136608747753146,1021,1409.96893208,0.413953488372093,No
126800,Waitemata,2374,0.8643639427127211,931,772.83984309,0.2518796992481203,No
134500,Auckland,2628,0.9965753424657534,986,639.128151598,0.4166666666666667,Yes
156000,Counties Manukau,138,0.7101449275362319,1031,811.386810819,0.38461538461538464,No
126900,Waitemata,3801,0.8566166798210997,959.5,3306.9208124,0.40670859538784065,No
127000,Waitemata,3572,0.8611422172452408,1006,105.934399501,0.4043478260869565,No
127100,Waitemata,1694,0.8447461629279811,1166,401.255040982,0.41603053435114506,No
127400,Waitemata,2675,0.9121495327102803,897.5,803.033935448,0.3605015673981191,No
156100,Counties Manukau,2200,0.8963636363636364,943.5,1999.32537263,0.41132075471698115,No
129100,Waitemata,4153,0.799662894293282,1005.5,1731.01952314,0.4397705544933078,No
127500,Waitemata,1316,0.7986322188449848,1139,1862.65841778,0.27017543859649124,No
128100,Waitemata,1863,0.9130434782608695,920.5,2262.36784755,0.3739495798319328,No
127700,Waitemata,2919,NA,1014,1513.39266541,0.4189189189189189,No
127800,Waitemata,1706,NA,1082.5,2781.47878646,0.4976303317535545,No
134800,Auckland,80,NA,1052,574.725245919,0.4,Yes
128200,Waitemata,2572,NA,907,1905.97556115,0.3668639053254438,No
128300,Waitemata,3566,NA,1069.5,2503.34188916,0.4612159329140461,No
128400,Waitemata,2374,NA,1069,928.065956355,0.4198717948717949,No
128500,Waitemata,3144,NA,1001,1221.04314491,0.4219512195121951,No
128600,Waitemata,1358,NA,914.5,280.390035745,0.3092105263157895,No
134900,Waitemata,2510,NA,1050,1011.511008,0.40836012861736337,No
235000,MidCentral,1163,NA,1159.5,130.677624466,0.3770491803278688,No
128800,Waitemata,3609,NA,927,390.810258389,0.3839080459770115,No
128900,Waitemata,4022,NA,1021,1136.30012713,0.4204322200392927,No
136000,Auckland,4290,NA,958,632.490640752,0.3830734966592428,No
129400,Waitemata,2401,NA,941,2924.98918724,0.40893470790378006,No
